Dataset,Month,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
donegal_finner,February,mm,1.8228,13.97449,12127,79991.54858,80006.35496,0.04838,0.00000,12.42008,1.85964,28.59855,0.26027,0.05575
donegal_finner,February,ls,1.8270,14.22026,12127,79975.32799,79990.13437,0.03731,0.00000,12.63722,1.90121,29.05324,0.25915,0.06061
donegal_finner,March,mle,1.8629,12.33956,13282,83721.51585,83736.50419,0.05294,0.00000,10.95720,1.71503,24.86590,0.27143,0.02409
donegal_finner,March,mm,1.7765,11.91795,13282,83794.56638,83809.55471,0.05148,0.00000,10.60552,1.50483,24.84893,0.25877,0.02402
donegal_finner,March,ls,1.8171,12.12136,13282,83741.55364,83756.54197,0.04182,0.00000,10.77458,1.60294,24.86153,0.26484,0.02408
donegal_finner,April,mle,1.9180,11.52489,12914,79098.38475,79113.31689,0.05273,0.00000,10.22380,1.69527,22.76124,0.27632,0.01208
donegal_finner,April,mm,1.7590,10.70986,12914,79375.32094,79390.25307,0.08799,0.00000,9.53561,1.32470,22.49406,0.24828,0.01177
donegal_finner,April,ls,1.8349,11.16574,12914,79160.92365,79175.85578,0.05884,0.00000,9.92089,1.50586,22.74230,0.26256,0.01242
donegal_finner,May,mle,1.9601,10.99430,13570,81365.97562,81381.00685,0.05203,0.00000,9.74753,1.68514,21.39849,0.27680,0.00671
donegal_finner,May,mm,1.7119,9.75201,13570,82106.42460,82121.45583,0.12534,0.00000,8.69711,1.13883,20.90468,0.22837,0.00667
donegal_finner,May,ls,1.9445,10.63301,13570,81419.82304,81434.85428,0.05198,0.00000,9.42906,1.60546,20.80599,0.26976,0.00513
donegal_finner,June,mle,1.9892,10.59226,13114,77394.27850,77409.24137,0.06085,0.00000,9.38811,1.66867,20.41617,0.27428,0.00401
donegal_finner,June,mm,1.7844,9.64631,13114,77857.87469,77872.83756,0.10685,0.00000,8.58206,1.22919,20.04734,0.23329,0.00421
donegal_finner,June,ls,1.8734,10.18154,13114,77504.85798,77519.82085,0.07196,0.00000,9.03906,1.43079,20.43699,0.25366,0.00460
donegal_finner,July,mle,2.0018,9.90865,13806,79515.55797,79530.62368,0.05455,0.00000,8.78117,1.57928,19.01964,0.26020,0.00170
donegal_finner,July,mm,1.7581,8.83071,13806,80232.47256,80247.53828,0.12660,0.00000,7.86273,1.09105,18.55461,0.20912,0.00197
donegal_finner,July,ls,1.9538,9.69239,13806,79544.24053,79559.30625,0.05373,0.00000,8.59392,1.47667,18.90491,0.24981,0.00172
donegal_finner,August,mle,2.0788,10.42101,13898,80882.06751,80897.14651,0.05644,0.00000,9.23055,1.77774,19.52620,0.28080,0.00210
donegal_finner,August,mm,2.1013,10.57267,13898,80893.83799,80908.91699,0.06734,0.00000,9.36411,1.83823,19.67711,0.28659,0.00224
donegal_finner,August,ls,2.0392,10.48701,13898,80896.43568,80911.51468,0.05554,0.00000,9.29102,1.72863,19.89082,0.27791,0.00280
donegal_finner,September,mle,1.8622,10.91673,13080,79220.98437,79235.94205,0.05171,0.00000,9.69391,1.51605,22.00501,0.26358,0.00929
donegal_finner,September,mm,1.6813,9.99687,13080,79600.98366,79615.94134,0.09580,0.00000,8.92660,1.12262,21.72948,0.22938,0.00938
donegal_finner,September,ls,1.8265,10.58169,13080,79260.67357,79275.63125,0.05075,0.00000,9.40383,1.41395,21.62366,0.25494,0.00816
donegal_finner,October,mle,1.8721,12.29044,14835,93233.35578,93248.56527,0.04912,0.00000,10.91158,1.72488,24.68160,0.27268,0.02286
donegal_finner,October,mm,1.6803,11.19750,14835,93716.39826,93731.60775,0.09674,0.00000,9.99909,1.25593,24.34963,0.24232,0.02115
donegal_finner,October,ls,1.8524,11.84941,14835,93296.46466,93311.67415,0.04983,0.00000,10.52426,1.62853,23.97350,0.26903,0.01856
donegal_finner,November,mle,1.7946,12.19323,13598,86116.56085,86131.59620,0.04487,0.00000,10.84487,1.57208,25.23505,0.26181,0.02658
donegal_finner,November,mm,1.7365,11.93053,13598,86148.72266,86163.75802,0.04235,0.00000,10.63042,1.43627,25.29990,0.25325,0.02696
donegal_finner,November,ls,1.7523,11.92418,13598,86140.91560,86155.95096,0.04014,0.00000,10.61909,1.46315,25.11578,0.25543,0.02575
donegal_finner,December,mle,1.7679,14.28113,13368,89255.71324,89270.71448,0.04242,0.00000,12.71177,1.78516,29.88274,0.25110,0.06781
donegal_finner,December,mm,1.7986,14.58656,13368,89274.63873,89289.63997,0.05495,0.00000,12.97210,1.88929,30.13919,0.25284,0.07168
donegal_finner,December,ls,1.6913,14.31299,13368,89304.03884,89319.04008,0.03464,0.00000,12.77521,1.62835,30.96774,0.24095,0.07666
kerry_valentia_observatory,January,mle,1.7566,13.56898,59305,391811.65617,391829.63707,0.05470,0.00000,12.08218,1.67353,28.52820,0.25366,0.05364
kerry_valentia_observatory,January,mm,2.1897,16.38494,59305,401591.46425,401609.44515,0.15965,0.00000,14.51073,3.05717,29.73959,0.27376,0.08027
kerry_valentia_observatory,January,ls,1.5706,14.25222,59305,393675.59617,393693.57707,0.05610,0.00000,12.80097,1.37191,32.72134,0.22534,0.08917
kerry_valentia_observatory,February,mle,1.8149,13.41657,53259,348136.95838,348154.72423,0.05147,0.00000,11.92654,1.76989,27.54194,0.26229,0.04530
kerry_valentia_observatory,February,mm,2.1175,15.29800,53259,352342.81333,352360.57918,0.12032,0.00000,13.54869,2.69546,28.33723,0.28279,0.05906
kerry_valentia_observatory,February,ls,1.7531,13.87243,53259,348505.46836,348523.23421,0.03955,0.00000,12.35378,1.70388,29.20915,0.25165,0.06032
kerry_valentia_observatory,March,mle,1.8226,12.51062,58334,373007.05465,373025.00253,0.05694,0.00000,11.11908,1.66461,25.60399,0.26580,0.02925
kerry_valentia_observatory,March,mm,2.2300,14.86376,58334,381315.80234,381333.75022,0.15543,0.00000,13.16451,2.85875,26.68959,0.30114,0.04124
kerry_valentia_observatory,March,ls,1.7452,13.07508,58334,373669.10636,373687.05424,0.04740,0.00000,11.64675,1.59084,27.62287,0.25398,0.04508
kerry_valentia_observatory,April,mle,1.8159,11.22939,56030,346167.88670,346185.75399,0.05921,0.00000,9.98204,1.48291,23.04350,0.26058,0.01388
kerry_valentia_observatory,April,mm,2.0314,12.33463,56030,348380.59623,348398.46351,0.09045,0.00000,10.92850,2.01924,23.45245,0.29468,0.01499
kerry_valentia_observatory,April,ls,1.7904,11.65557,56030,346471.41149,346489.27878,0.04796,0.00000,10.36787,1.49560,24.16323,0.25976,0.01983
kerry_valentia_observatory,May,mle,1.8810,10.94449,57753,351365.43690,351383.36476,0.06470,0.00000,9.71501,1.55020,21.90690,0.26626,0.00883
kerry_valentia_observatory,May,mm,2.2163,12.56379,57753,356748.98116,356766.90902,0.12850,0.00000,11.12712,2.39184,22.64167,0.31978,0.01010
kerry_valentia_observatory,May,ls,1.8617,11.45172,57753,351813.28508,351831.21294,0.05281,0.00000,10.16906,1.58965,23.08700,0.26830,0.01387
kerry_valentia_observatory,June,mle,1.9705,10.18699,55659,327293.04643,327310.90042,0.06900,0.00000,9.03069,1.57690,19.75778,0.26407,0.00284
kerry_valentia_observatory,June,mm,2.4299,12.16012,55659,336760.09985,336777.95384,0.17281,0.00000,10.78233,2.67849,20.80827,0.34788,0.00314
kerry_valentia_observatory,June,ls,1.9503,10.70274,55659,327844.35151,327862.20551,0.05704,0.00000,9.49018,1.62506,20.90086,0.27155,0.00535
kerry_valentia_observatory,July,mle,2.0062,9.65849,57308,329182.14161,329200.05400,0.07157,0.00000,8.55914,1.54563,18.51290,0.25321,0.00118
kerry_valentia_observatory,July,mm,2.3676,11.11258,57308,335195.17154,335213.08393,0.15119,0.00000,9.84877,2.35224,19.28634,0.32812,0.00109
kerry_valentia_observatory,July,ls,2.0090,10.02438,57308,329489.76417,329507.67656,0.05569,0.00000,8.88317,1.60816,19.19734,0.26398,0.00189
kerry_valentia_observatory,August,mle,1.8941,9.82326,57070,334086.15914,334104.06321,0.06913,0.00000,8.71768,1.41034,19.56838,0.24787,0.00283
kerry_valentia_observatory,August,mm,2.1142,10.76587,57070,336356.07310,336373.97717,0.09664,0.00000,9.53488,1.89179,19.96130,0.29189,0.00264
kerry_valentia_observatory,August,ls,1.8921,10.24206,57070,334436.80962,334454.71368,0.05553,0.00000,9.08966,1.46754,20.41708,0.25687,0.00447
kerry_valentia_observatory,September,mle,1.7827,10.61365,56097,341419.88292,341437.75260,0.05901,0.00000,9.44315,1.34974,22.07348,0.25005,0.01000
kerry_valentia_observatory,September,mm,1.9356,11.38078,56097,342573.03659,342590.90626,0.07515,0.00000,10.09337,1.70347,22.33814,0.27759,0.01018
kerry_valentia_observatory,September,ls,1.7139,10.94923,56097,341814.70943,341832.57910,0.04976,0.00000,9.76407,1.28193,23.44974,0.24491,0.01630
kerry_valentia_observatory,October,mle,1.8020,11.71296,58288,365568.82894,365586.77524,0.05129,0.00000,10.41562,1.52292,24.16876,0.26160,0.01983
kerry_valentia_observatory,October,mm,2.0565,13.12279,58288,368895.17697,368913.12327,0.11022,0.00000,11.62497,2.19617,24.75643,0.29640,0.02319
kerry_valentia_observatory,October,ls,1.7213,12.13679,58288,366111.32608,366129.27238,0.04285,0.00000,10.82010,1.43404,25.90871,0.25150,0.03115
kerry_valentia_observatory,November,mle,1.7682,12.45771,56627,363652.12640,363670.01488,0.05017,0.00000,11.08863,1.55775,26.06422,0.25822,0.03249
kerry_valentia_observatory,November,mm,2.0840,14.36396,56627,368714.49762,368732.38610,0.12989,0.00000,12.72280,2.46132,26.87170,0.29020,0.04185
kerry_valentia_observatory,November,ls,1.6543,12.83924,56627,364343.31065,364361.19913,0.04269,0.00000,11.47864,1.39137,28.26283,0.24183,0.04923
kerry_valentia_observatory,December,mle,1.8358,13.60227,58667,384235.84213,384253.80139,0.05275,0.00000,12.08553,1.83628,27.69529,0.26420,0.04704
kerry_valentia_observatory,December,mm,2.1500,15.55559,58667,389177.69841,389195.65768,0.12124,0.00000,13.77616,2.81384,28.54673,0.28264,0.06245
kerry_valentia_observatory,December,ls,1.7762,14.12060,58667,384693.61329,384711.57256,0.04267,0.00000,12.56573,1.78224,29.44560,0.25322,0.06340
