Dataset,Month,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
cork_roches_point,January,mm,1.8762,15.89335,43311,295176.76243,295194.11475,0.03759,0.00000,14.10919,2.23999,31.86898,0.24980,0.09639
cork_roches_point,January,ls,1.9033,15.90493,43311,295182.29564,295199.64797,0.03343,0.00000,14.11268,2.30504,31.57789,0.25255,0.09396
cork_roches_point,February,mle,1.9782,15.96966,38833,261937.21102,261954.34507,0.03740,0.00000,14.15578,2.49016,30.89306,0.25957,0.08831
cork_roches_point,February,mm,1.8895,15.29199,38833,262230.14959,262247.28364,0.06978,0.00000,13.57201,2.18522,30.51311,0.25751,0.07955
cork_roches_point,February,ls,2.0373,15.76975,38833,262052.80973,262069.94378,0.03550,0.00000,13.97146,2.59507,29.92845,0.26813,0.07755
cork_roches_point,March,mle,2.0316,15.13155,42604,281216.39430,281233.71371,0.03510,0.00000,13.40657,2.47746,28.76896,0.27541,0.06245
cork_roches_point,March,mm,1.9991,14.90690,42604,281257.63968,281274.95908,0.04401,0.00000,13.21101,2.36991,28.63952,0.27421,0.06013
cork_roches_point,March,ls,2.0560,14.94591,42604,281266.58546,281283.90487,0.03547,0.00000,13.24004,2.50016,28.20026,0.28037,0.05615
cork_roches_point,April,mle,1.9494,13.55754,41491,267007.62870,267024.89516,0.04257,0.00000,12.02170,2.05666,26.48437,0.27965,0.03701
cork_roches_point,April,mm,1.7735,12.39905,41491,268251.18385,268268.45031,0.11037,0.00000,11.03463,1.56009,25.88424,0.25897,0.03117
cork_roches_point,April,ls,1.9954,13.53178,41491,267054.43019,267071.69666,0.03740,0.00000,11.99274,2.14396,26.02910,0.28593,0.03325
cork_roches_point,May,mle,2.0019,12.99938,42969,271527.96109,271545.29755,0.04459,0.00000,11.52021,2.07193,24.95210,0.28951,0.02465
cork_roches_point,May,mm,1.9131,12.43412,42969,271868.38158,271885.71805,0.07912,0.00000,11.03123,1.81996,24.60022,0.27840,0.02227
cork_roches_point,May,ls,2.0855,12.97619,42969,271671.08529,271688.42176,0.03579,0.00000,11.49353,2.22623,24.26501,0.30095,0.01973
cork_roches_point,June,mle,2.0297,12.25982,41417,256290.66859,256307.93149,0.04695,0.00000,10.86235,2.00392,23.32294,0.29437,0.01430
cork_roches_point,June,mm,2.0589,12.37666,41417,256312.08814,256329.35103,0.03927,0.00000,10.96386,2.07566,23.33141,0.29846,0.01423
cork_roches_point,June,ls,2.0509,12.38143,41417,256308.36991,256325.63280,0.03922,0.00000,10.96859,2.06197,23.39853,0.29736,0.01462
cork_roches_point,July,mle,2.0213,11.93091,42590,261650.73012,261668.04887,0.05036,0.00000,10.57159,1.93557,22.75778,0.29239,0.01156
cork_roches_point,July,mm,2.1161,12.37916,42590,261939.86179,261957.18054,0.05979,0.00000,10.96366,2.17880,22.93939,0.30627,0.01197
cork_roches_point,July,ls,2.0880,12.19060,42590,261765.21499,261782.53374,0.04688,0.00000,10.79759,2.09596,22.77856,0.30222,0.01133
cork_roches_point,August,mle,1.9778,12.22721,42591,264815.26252,264832.58131,0.04917,0.00000,10.83846,1.90583,23.65672,0.28721,0.01633
cork_roches_point,August,mm,1.9342,11.93066,42591,264913.40642,264930.72522,0.06802,0.00000,10.58126,1.78332,23.42884,0.28053,0.01526
cork_roches_point,August,ls,2.0769,12.39759,42591,264989.56010,265006.87890,0.04374,0.00000,10.98143,2.11151,23.24314,0.30092,0.01368
cork_roches_point,September,mle,1.9350,12.93582,41321,262465.01783,262482.27608,0.04416,0.00000,11.47260,1.93511,25.39554,0.28059,0.02792
cork_roches_point,September,mm,1.7637,11.85328,41321,263641.92442,263659.18267,0.11149,0.00000,10.55208,1.47440,24.84598,0.25682,0.02401
cork_roches_point,September,ls,2.0076,12.72600,41321,262663.59748,262680.85573,0.04362,0.00000,11.27737,2.03900,24.38203,0.29110,0.02067
cork_roches_point,October,mle,1.9603,14.38588,43254,283026.51040,283043.86009,0.03859,0.00000,12.75448,2.20538,27.99778,0.27472,0.05211
cork_roches_point,October,mm,1.7785,13.15167,43254,284359.66760,284377.01729,0.10609,0.00000,11.70267,1.66453,27.39821,0.25835,0.04353
cork_roches_point,October,ls,1.9684,14.12893,43254,283088.53752,283105.88721,0.04439,0.00000,12.52549,2.18270,27.42279,0.27797,0.04620
cork_roches_point,November,mle,1.9127,14.95587,41936,279189.77626,279207.06406,0.04388,0.00000,13.26854,2.18828,29.59314,0.26355,0.06914
cork_roches_point,November,mm,1.8018,14.17111,41936,279663.91287,279681.20067,0.07875,0.00000,12.60157,1.84205,29.24364,0.25623,0.06197
cork_roches_point,November,ls,1.9295,14.75155,41936,279234.09373,279251.38153,0.04297,0.00000,13.08398,2.19468,29.01657,0.26753,0.06284
cork_roches_point,December,mle,1.9729,16.17901,44107,298851.57867,298868.96741,0.03955,0.00000,14.34219,2.51010,31.35419,0.25646,0.09445
cork_roches_point,December,mm,1.8913,15.53881,44107,299138.08960,299155.47835,0.06769,0.00000,13.79064,2.22458,30.98538,0.25518,0.08560
cork_roches_point,December,ls,2.0312,15.95029,44107,298992.78783,299010.17658,0.03720,0.00000,14.13201,2.61059,30.32940,0.26517,0.08280
cork_airport,January,mle,1.8734,13.22472,47527,305812.72963,305830.26773,0.04981,0.00000,11.74075,1.85852,26.54503,0.27110,0.03700
cork_airport,January,mm,1.7570,12.55088,47527,306343.27974,306360.81784,0.06654,0.00000,11.17547,1.54883,26.38246,0.25661,0.03487
cork_airport,January,ls,1.9404,13.28626,47527,305915.49032,305933.02843,0.05884,0.00000,11.78253,1.99804,26.03476,0.27993,0.03305
cork_airport,February,mle,1.9369,13.36324,42644,273180.72102,273198.04230,0.05310,0.00000,11.85136,2.00278,26.21729,0.27908,0.03458
cork_airport,February,mm,1.7794,12.44313,42644,274062.57943,274079.90072,0.08177,0.00000,11.07191,1.57645,25.91286,0.25979,0.03140
cork_airport,February,ls,2.0144,13.36230,42644,273308.12637,273325.44766,0.06027,0.00000,11.84056,2.15426,25.54483,0.28949,0.02924
cork_airport,March,mle,1.9892,12.89569,46799,294898.30966,294915.81689,0.04960,0.00000,11.42968,2.03152,24.85602,0.28814,0.02396
cork_airport,March,mm,1.8753,12.28038,46799,295383.87441,295401.38165,0.06725,0.00000,10.90200,1.72918,24.63248,0.27311,0.02253
cork_airport,March,ls,2.0580,13.06148,46799,294996.19618,295013.70342,0.06485,0.00000,11.57056,2.18887,24.62891,0.29689,0.02228
cork_airport,April,mle,2.0320,11.72682,45228,274892.11549,274909.55443,0.05281,0.00000,10.38994,1.92077,22.29257,0.29284,0.00950
cork_airport,April,mm,1.8491,10.80119,45228,276167.64823,276185.08717,0.10030,0.00000,9.59393,1.47931,21.87975,0.26058,0.00891
cork_airport,April,ls,2.1437,11.85056,45228,275117.37403,275134.81297,0.07136,0.00000,10.49502,2.13279,21.78670,0.30847,0.00705
cork_airport,May,mle,2.0693,11.29015,46696,279159.66832,279177.17115,0.04628,0.00000,10.00083,1.91058,21.21523,0.29410,0.00562
