Dataset,Month,Shape Parameter (k),Scale Parameter (gamma),Method,Number of Data Points
kildare_mullingar,December,1.8276,9.8326,mm,38679
kildare_mullingar,December,1.6407,9.3711,ls,38679
galway_athenry,January,1.7014,8.4887,mle,11160
galway_athenry,January,1.4861,7.5560,mm,11160
galway_athenry,January,1.6940,8.2353,ls,11160
galway_athenry,February,1.9623,9.7071,mle,9576
galway_athenry,February,1.8129,9.0881,mm,9576
galway_athenry,February,1.9461,9.5963,ls,9576
galway_athenry,March,1.8960,8.7594,mle,11160
galway_athenry,March,1.8622,8.7008,mm,11160
galway_athenry,March,1.8297,8.6583,ls,11160
galway_athenry,April,1.9530,8.3554,mle,10800
galway_athenry,April,1.8812,8.1353,mm,10800
galway_athenry,April,1.8064,8.2208,ls,10800
galway_athenry,May,2.0171,8.3210,mle,11160
galway_athenry,May,1.9593,8.1405,mm,11160
galway_athenry,May,1.9638,8.4785,ls,11160
galway_athenry,June,2.0807,7.7527,mle,10800
galway_athenry,June,1.8575,7.0244,mm,10800
galway_athenry,June,2.0624,7.6272,ls,10800
galway_athenry,July,2.1082,7.2593,mle,11147
galway_athenry,July,2.0150,7.0099,mm,11147
galway_athenry,July,2.0881,7.2036,ls,11147
galway_athenry,August,2.0329,7.6090,mle,11160
galway_athenry,August,2.1598,8.0754,mm,11160
galway_athenry,August,1.9098,7.6427,ls,11160
galway_athenry,September,1.9574,7.5792,mle,10787
galway_athenry,September,1.7392,6.8330,mm,10787
galway_athenry,September,1.9289,7.4724,ls,10787
galway_athenry,October,1.9242,8.0401,mle,11160
galway_athenry,October,1.7781,7.5183,mm,11160
galway_athenry,October,1.9359,7.9624,ls,11160
galway_athenry,November,1.8031,7.8497,mle,10800
galway_athenry,November,1.5660,6.9311,mm,10800
galway_athenry,November,1.8274,7.5889,ls,10800
galway_athenry,December,1.7927,8.9318,mle,11160
galway_athenry,December,1.6275,8.2599,mm,11160
galway_athenry,December,1.8037,8.6997,ls,11160
donegal_finner,January,1.7225,13.5359,mle,13239
donegal_finner,January,1.6900,13.4621,mm,13239
donegal_finner,January,1.6766,13.0510,ls,13239
donegal_finner,February,1.8840,14.3275,mle,12154
donegal_finner,February,1.8331,14.0845,mm,12154
donegal_finner,February,1.8472,14.2149,ls,12154
donegal_finner,March,1.8627,12.3360,mle,13294
donegal_finner,March,1.7804,11.9543,mm,13294
donegal_finner,March,1.7881,12.0119,ls,13294
donegal_finner,April,1.9176,11.5198,mle,12933
donegal_finner,April,1.7662,10.7705,mm,12933
donegal_finner,April,1.8658,11.3691,ls,12933
donegal_finner,May,1.9598,10.9901,mle,13588
donegal_finner,May,1.7190,9.8072,mm,13588
donegal_finner,May,1.9775,10.7386,ls,13588
donegal_finner,June,1.9889,10.5884,mle,13131
donegal_finner,June,1.7919,9.7011,mm,13131
donegal_finner,June,1.9075,10.2408,ls,13131
donegal_finner,July,2.0013,9.9032,mle,13833
donegal_finner,July,1.7697,8.9094,mm,13833
donegal_finner,July,1.9779,9.6976,ls,13833
donegal_finner,August,2.0783,10.4162,mle,13923
donegal_finner,August,2.1152,10.6629,mm,13923
donegal_finner,August,2.0476,10.4968,ls,13923
donegal_finner,September,1.8619,10.9127,mle,13095
donegal_finner,September,1.6861,10.0373,mm,13095
donegal_finner,September,1.8100,10.6161,ls,13095
donegal_finner,October,1.8715,12.2812,mle,14870
donegal_finner,October,1.6904,11.2921,mm,14870
donegal_finner,October,1.8689,11.9401,ls,14870
donegal_finner,November,1.7944,12.1901,mle,13608
donegal_finner,November,1.7391,11.9565,mm,13608
donegal_finner,November,1.7883,12.0384,ls,13608
donegal_finner,December,1.7664,14.2527,mle,13443
donegal_finner,December,1.8173,14.8076,mm,13443
donegal_finner,December,1.6738,14.2733,ls,13443
kerry_valentia_observatory,January,1.7523,13.4906,mle,60264
kerry_valentia_observatory,January,2.2410,16.9852,mm,60264
kerry_valentia_observatory,January,1.6208,14.3701,ls,60264
kerry_valentia_observatory,February,1.8102,13.3357,mle,54218
kerry_valentia_observatory,February,2.1864,16.0344,mm,54218
kerry_valentia_observatory,February,1.7305,14.0091,ls,54218
kerry_valentia_observatory,March,1.8173,12.4262,mle,59520
kerry_valentia_observatory,March,2.3071,15.6400,mm,59520
kerry_valentia_observatory,March,1.6973,13.1921,ls,59520
kerry_valentia_observatory,April,1.8084,11.1242,mle,57599
kerry_valentia_observatory,April,2.1324,13.2473,mm,57599
kerry_valentia_observatory,April,1.7538,11.7749,ls,57599
kerry_valentia_observatory,May,1.8728,10.8402,mle,59520
kerry_valentia_observatory,May,2.3461,13.6524,mm,59520
kerry_valentia_observatory,May,1.8178,11.5999,ls,59520
kerry_valentia_observatory,June,1.9612,10.0864,mle,57600
kerry_valentia_observatory,June,2.6107,13.4852,mm,57600
kerry_valentia_observatory,June,1.9247,10.8085,ls,57600
kerry_valentia_observatory,July,1.9960,9.5565,mle,59520
kerry_valentia_observatory,July,2.5811,12.5514,mm,59520
kerry_valentia_observatory,July,1.9748,10.1564,ls,59520
kerry_valentia_observatory,August,1.8826,9.6937,mle,59520
kerry_valentia_observatory,August,2.2871,12.0738,mm,59520
kerry_valentia_observatory,August,1.7863,10.3733,ls,59520
kerry_valentia_observatory,September,1.7755,10.5148,mle,57600
kerry_valentia_observatory,September,2.0228,12.1502,mm,57600
kerry_valentia_observatory,September,1.6778,11.0729,ls,57600
kerry_valentia_observatory,October,1.7965,11.6288,mle,59520
kerry_valentia_observatory,October,2.1318,13.8398,mm,59520
kerry_valentia_observatory,October,1.7025,12.2799,ls,59520
kerry_valentia_observatory,November,1.7637,12.3823,mle,57599
kerry_valentia_observatory,November,2.1402,14.9541,mm,57599
kerry_valentia_observatory,November,1.6419,13.0433,ls,57599
kerry_valentia_observatory,December,1.8321,13.5391,mle,59499
kerry_valentia_observatory,December,2.2095,16.1812,mm,59499
kerry_valentia_observatory,December,1.7770,14.2213,ls,59499
